x,y,z
-0.041814,-0.42093,0.217954
-0.041753,-0.42294,0.219395
-0.041851,-0.422929,0.218859
-0.042108,-0.422905,0.220333
-0.04204,-0.422905,0.217572
-0.323703,0.012995,0.269386
-0.328165,0.013235,0.278824
-0.328052,0.013155,0.267077
-0.162218,-0.400432,0.191764
-0.159987,-0.400193,0.190909
-0.159294,-0.400432,0.178322
-0.16574,-0.399951,0.19017
-0.164727,-0.399951,0.185007
-0.03905,-0.421905,0.204248
-0.039076,-0.421753,0.200637
-0.039548,-0.417864,0.204391
-0.039285,-0.418754,0.201131
-0.039301,-0.421812,0.202464
-0.593017,0.724388,1.579404
-0.598216,0.723134,1.59235
-0.600309,0.72332,1.556044
0.042969,1.170543,0.404849
0.042327,1.169141,0.394362
0.040962,1.169555,0.405149
0.270725,0.90705,0.469738
0.269111,0.879796,0.468504
0.267826,0.886929,0.467594
0.261729,0.898417,0.467687
-0.299842,-0.407037,0.25372
-0.302477,-0.406532,0.251167
-0.302205,-0.406969,0.247924
-0.384563,-2.132121,-0.146586
-0.390824,-2.129788,-0.15346
-0.389631,-2.133091,-0.141549
-0.585544,-0.48963,1.891422
-0.60724,-0.48531,1.899261
-0.607923,-0.477516,1.901247
-0.606546,-0.493095,1.897243
-0.0465,-0.37944,0.599385
-0.03377,-0.378965,0.596964
-0.04246,-0.379675,0.596789
-0.038528,-0.381804,0.599323
-0.033753,-0.382741,0.597411
-0.046474,-0.381094,0.597726
-0.076577,-0.378911,0.600715
-0.055369,-0.378733,0.597481
-0.076422,-0.380592,0.599066
-0.080532,-0.381999,0.599658
-0.055354,-0.381804,0.597235
0.537773,0.73805,-0.109955
0.540388,0.735296,-0.111826
0.535149,0.740789,-0.108078
0.715553,0.376735,0.247319
0.715796,0.376735,0.239945
0.711256,0.37844,0.247416
0.710342,0.369914,0.240105
0.739137,-0.661409,1.191809
0.731214,-0.661443,1.182082
0.696316,-0.661709,1.177953
-0.497014,0.506973,0.377738
-0.497366,0.461831,0.366391
-0.49788,0.474639,0.366563
-0.059883,-0.234575,0.204698
-0.059942,-0.232412,0.203099
-0.061338,-0.239276,0.20437
-0.063806,-0.235475,0.203094
-0.061747,-0.237106,0.203993
-0.061714,-0.238086,0.203283
0.26665,1.279597,0.885331
0.241416,1.279293,0.848595
0.247789,1.278408,0.845611
0.23764,1.278999,0.857473
0.797193,-0.351966,-0.238874
0.798244,-0.357057,-0.239555
0.797144,-0.365813,-0.238875
0.797702,-0.361434,-0.239221
0.780423,-0.355581,-0.239338
0.780939,-0.351269,-0.239664
0.764811,-0.36399,-0.240052
0.24742,0.589626,0.411165
0.247389,0.567855,0.418492
0.247021,0.580732,0.414611
-0.172643,1.159952,0.100217
-0.172435,1.158867,0.109416
-0.176096,1.159045,0.09652
0.097333,-0.414087,0.528753
0.081184,-0.414878,0.534015
0.08681,-0.415484,0.530012
-0.405048,1.259632,-0.236551
-0.400537,1.256759,-0.220683
-0.404704,1.256863,-0.226021
-0.400394,1.257765,-0.230469
-0.41103,1.262276,-0.223722
-0.410225,1.261433,-0.233077
-0.223733,1.158794,-0.080314
-0.223852,1.157544,-0.072806
-0.22688,1.158794,-0.077944
-0.123466,1.157404,0.430368
-0.130708,1.15746,0.419806
-0.128526,1.157499,0.408881
-0.1305,1.15651,0.413528
-0.397492,1.279225,1.146254
-0.394212,1.278876,1.137571
-0.39727,1.278802,1.11674
-0.411625,1.28123,1.073607
-0.403631,1.278193,1.162512
1.277811,-1.440445,0.382676
1.2745,-1.447546,0.368785
1.268196,-1.453128,0.368232
-0.507246,0.150514,0.628321
-0.508227,0.12221,0.638066
-0.507966,0.121113,0.629062
-0.507576,0.123951,0.628696
-0.509093,0.139151,0.630047
-0.508979,0.116475,0.638786
-0.508608,0.119344,0.63843
0.275183,0.446379,0.406772
0.27344,0.447814,0.405897
0.270823,0.450859,0.408334
0.272178,0.457154,0.409049
0.272569,0.449428,0.409234
0.271691,0.44924,0.405018
-0.09812,0.956984,2.243383
-0.098121,0.925823,2.245731
-0.119606,0.969261,2.245255
-0.119569,0.937177,2.245969
-0.119494,0.925823,2.244583
-0.065474,-0.404429,-0.037236
-0.065307,-0.405569,-0.035476
-0.065139,-0.406702,-0.033712
-0.066123,-0.403458,-0.044142
-0.065956,-0.404628,-0.042386
-0.175249,1.17241,0.309703
-0.171866,1.16945,0.315052
-0.173174,1.171424,0.313314
-0.176383,1.172548,0.318495
-0.17617,1.17241,0.307881
-0.180209,1.171562,0.310947
0.130903,1.276289,1.340776
0.105214,1.276262,1.323705
0.117649,1.27593,1.332006
-0.507901,0.666425,0.732008
-0.512625,0.587566,0.752065
-0.517588,0.685941,0.742966
-0.51807,0.59955,0.758385
-0.211685,1.174808,0.109636
-0.210212,1.174808,0.106856
-0.211904,1.174753,0.099115
-0.212949,1.173774,0.10137
-0.066711,1.258459,0.139687
-0.067581,1.25958,0.127465
-0.067151,1.256041,0.133824
-0.067635,1.262448,0.140104
-0.067863,1.2611,0.121235
-0.068181,1.249484,0.141748
-0.068039,1.256041,0.134524
-0.301746,-0.007966,0.312833
-0.301793,-0.007915,0.305688
-0.305427,-0.007991,0.303722
-0.307254,-0.008093,0.311739
-0.49212,0.911719,0.339452
-0.492219,0.913607,0.350321
-0.492215,0.914344,0.345073
-0.492226,0.886797,0.345135
-0.052,-0.450572,0.010302
-0.047533,-0.454213,0.009953
-0.047573,-0.451477,0.008826
-0.058796,-0.452351,0.008788
-0.056628,-0.471483,0.006593
-0.115523,-0.443914,0.063241
-0.116318,-0.443079,0.061477
-0.118313,-0.444914,0.061987
0.555045,-0.405236,0.218732
0.549929,-0.40527,0.207545
0.564859,-0.405059,0.206084
0.561483,-0.40634,0.206411
0.525329,-0.404907,0.215502
0.540148,-0.405231,0.219875
0.530031,-0.40505,0.204066
0.527482,-0.406742,0.204338
-0.189025,-0.404236,0.346502
-0.19306,-0.403911,0.341344
-0.195503,-0.404548,0.346651
-0.19286,-0.404236,0.340575
-0.49647,-0.766778,1.100357
-0.497999,-0.762364,1.103322
-0.497342,-0.782289,1.102127
-0.3335,-0.408737,0.502518
-0.338777,-0.408053,0.495018
-0.336787,-0.409561,0.505886
-0.347823,-0.409082,0.503906
-0.343439,-0.409422,0.491519
0.234359,1.099739,0.394263
0.234662,1.098083,0.384473
0.233884,1.090067,0.390673
0.232561,1.081079,0.396892
0.715065,0.382584,-0.237209
0.71253,0.372348,-0.235427
0.699373,0.380879,-0.236647
0.697593,0.371141,-0.235375
0.363172,0.234766,0.081802
0.360582,0.237601,0.083135
0.3615,0.235926,0.082661
0.130702,1.169528,0.170906
0.13095,1.166547,0.172506
0.129828,1.165554,0.169816
-0.178404,-2.181062,-0.076315
-0.208713,-2.179541,-0.067579
-0.203476,-2.179951,-0.083163
-0.203969,-2.181062,-0.059333
-0.199013,-2.181515,-0.074759
-0.448305,1.285227,0.41254
-0.449673,1.283356,0.4075
-0.462938,1.288697,0.396998
-0.204261,-0.401566,0.015629
-0.206008,-0.401938,0.013293
-0.21233,-0.401645,0.004839
